# niche-harvest M1 inheritance candidates — sourced from booker/data/fb_conditioner.sqlite (2026-04-24)
# Commissioned by Narvest 2026-04-24T20:38Z for niche-harvest M1 starting inventory.
# Ranking formula: (events_synced × 3) + events_produced − days_since_last_event / 30 − (consecutive_empty_scrapes × 2)
#
# Recommendation tiers:
#   NOT_A_FB_GROUP — aggregator-source markers (source-tm, source-nyt, v21_batch_import). Skip; not actually FB groups.
#   YES — events_synced >= 5 OR (events_produced >= 8 AND last_event within 90d). Inherit into M1.
#   MAYBE — events_synced >= 1 OR events_produced >= 3. Manual review before inherit.
#   NO — everything else (scraped-zero, never-scraped, flagged not_fb_group). Leave in Booker SQLite for archival; don't inherit.
#
# Counts: NOT_A_FB_GROUP=3 YES=11 MAYBE=83 NO=282
#
# Booker ranking thresholds are advisory. Tune on niche-harvest side after manual scan of YES + MAYBE tiers.
#
rec,score,fb_group_id,name,url,events_synced,events_produced,future_events,last_event_date,days_since_last_event,last_scraped_at,consecutive_empty_scrapes,activity_level,scrape_priority,reason
MAYBE,6.00,1374042292687874,Jacksonville Argentine Tango,https://www.facebook.com/groups/1374042292687874/,0,6,4,2026-05-16T17:00:00.000Z,0,2026-04-16 22:41:46,0,active,normal,"6 events produced, 0 synced"
MAYBE,6.00,205005922937468,Tango argentino in Zürich,https://www.facebook.com/groups/205005922937468/,0,6,1,2026-04-24T18:00:00.000Z,0,2026-04-17 00:59:02,0,unknown,normal,"6 events produced, 0 synced"
MAYBE,6.00,tangoargentinohamburg,Tango in Hamburg,https://www.facebook.com/groups/tangoargentinohamburg/,0,6,4,2026-04-26T13:00:00.000Z,0,2026-04-17 02:07:04,0,unknown,normal,"6 events produced, 0 synced"
MAYBE,5.93,146042045254,TANGO W KRAKOWIE/ TANGO IN KRAKÓW,https://www.facebook.com/groups/146042045254/,0,6,0,2026-04-22T19:00:00.000Z,2,2026-04-17 02:26:40,0,unknown,normal,"6 events produced, 0 synced"
MAYBE,5.83,allseattletango.local.events,All Seattle Tango: Local Events,https://www.facebook.com/groups/allseattletango.local.events/,0,6,0,2026-04-19T21:00:00.000Z,5,2026-04-16 23:50:12,0,unknown,normal,"6 events produced, 0 synced"
MAYBE,5.80,tangoinamsterdam,Tango in Amsterdam,https://www.facebook.com/groups/tangoinamsterdam/,0,6,0,2026-04-18T17:00:00.000Z,6,2026-04-17 00:21:15,0,unknown,high,"6 events produced, 0 synced"
MAYBE,5.80,danceeverywhere,Pittsburgh Dance Friends,https://www.facebook.com/groups/danceeverywhere/,0,6,0,2026-04-18T00:00:00.000Z,6,2026-04-16 22:17:38,0,active,normal,"6 events produced, 0 synced"
MAYBE,5.00,273316539359504,Tango Colorado (Argentine Tango Events),https://www.facebook.com/groups/273316539359504/,1,4,3,2026-05-30T01:00:00.000Z,0,2026-04-16 21:48:11,1,high,high,synced 1 event(s); review manually
MAYBE,5.00,358192569234016,Argentine Tango NYC,https://www.facebook.com/groups/358192569234016/,0,7,2,2026-04-26T00:00:00.000Z,0,2026-04-16 21:41:43,1,high,high,"7 events produced, 0 synced"
MAYBE,5.00,TangoStLouis,Tango St. Louis,https://www.facebook.com/groups/TangoStLouis/,1,4,2,2026-04-26T23:00:00.000Z,0,2026-04-16 22:25:51,1,active,high,synced 1 event(s); review manually
MAYBE,5.00,27423415735,TangoClub Auckland,https://www.facebook.com/groups/27423415735/,0,7,5,2026-07-31T09:00:00.000Z,0,2026-04-16 23:09:11,1,medium,high,"7 events produced, 0 synced"
MAYBE,5.00,131208406971399,Sydney Argentine Tango dance scene,https://www.facebook.com/groups/131208406971399/,0,7,5,2026-05-22T10:30:00.000Z,0,2026-04-16 23:06:29,1,medium,high,"7 events produced, 0 synced"
MAYBE,5.00,265703983623938,FB Group 265703983623938,https://www.facebook.com/groups/265703983623938/,0,5,3,2026-05-08T12:00:00.000Z,0,2026-04-16 23:18:40,0,unknown,dormant,"5 events produced, 0 synced"
MAYBE,5.00,475052734361392,Sweden Tango,https://www.facebook.com/groups/475052734361392/,0,5,2,2026-04-25T11:00:00.000Z,0,2026-04-16 22:09:17,0,medium,normal,"5 events produced, 0 synced"
MAYBE,5.00,TangoAustria,Tango Austria,https://www.facebook.com/groups/TangoAustria/,0,5,1,2026-04-24T17:30:00.000Z,0,2026-04-17 00:29:26,0,unknown,normal,"5 events produced, 0 synced"
MAYBE,5.00,1816962685206125,Tango à Lyon,https://www.facebook.com/groups/1816962685206125/,0,5,1,2026-04-24T09:00:00.000Z,0,2026-04-17 02:02:31,0,unknown,normal,"5 events produced, 0 synced"
MAYBE,4.83,376655371590174,TokyoTango.jp,https://www.facebook.com/groups/376655371590174/,0,5,0,2026-04-19T04:30:00.000Z,5,2026-04-16 22:57:25,0,high,normal,"5 events produced, 0 synced"
MAYBE,4.83,tangoinbelgium,Tango in Belgium,https://www.facebook.com/groups/tangoinbelgium/,0,5,0,2026-04-19T13:00:00.000Z,5,2026-04-17 00:34:37,0,unknown,normal,"5 events produced, 0 synced"
MAYBE,4.80,12497711188,London Tango,https://www.facebook.com/groups/12497711188/,0,5,0,2026-04-18T14:00:00.000Z,6,2026-04-16 22:00:42,0,medium,high,"5 events produced, 0 synced"
MAYBE,4.80,293801204829620,Grupa Tango Warszawa / Tango in Warsaw,https://www.facebook.com/groups/293801204829620/,0,5,0,2026-04-18T16:00:00.000Z,6,2026-04-17 00:50:35,0,unknown,high,"5 events produced, 0 synced"
MAYBE,4.80,220377800308,Tango in Deutschland,https://www.facebook.com/groups/220377800308/,0,5,0,2026-04-18T13:00:00.000Z,6,2026-04-16 22:02:26,0,medium,normal,"5 events produced, 0 synced"
MAYBE,4.00,218329594850422,Seattle Tangueros y Tangueras,https://www.facebook.com/groups/218329594850422/,0,4,3,2026-04-25T03:30:00.000Z,0,2026-04-16 23:53:47,0,unknown,high,"4 events produced, 0 synced"
MAYBE,4.00,149826551783794,B.A. TANGO - Buenos Aires Tango,https://www.facebook.com/groups/149826551783794/,0,4,3,2026-05-03T19:45:00.000Z,0,2026-04-16 23:28:56,0,unknown,high,"4 events produced, 0 synced"
MAYBE,4.00,tangovienna,Where to dance Tango in Vienna tonight?,https://www.facebook.com/groups/tangovienna/,0,4,4,2026-06-05T12:00:00.000Z,0,2026-04-17 00:27:55,0,unknown,high,"4 events produced, 0 synced"
MAYBE,4.00,viennatango,Tango Vienna,https://www.facebook.com/groups/viennatango/,0,4,2,2026-08-15T16:00:00.000Z,0,2026-04-17 00:26:24,0,unknown,high,"4 events produced, 0 synced"
MAYBE,4.00,166319156718539,BRUXELL'Aires (Tango in Brussels),https://www.facebook.com/groups/166319156718539/,0,4,3,2026-06-11T19:00:00.000Z,0,2026-04-17 00:38:02,0,unknown,normal,"4 events produced, 0 synced"
MAYBE,4.00,1792314420960046,Argentine Tango Manchester,https://www.facebook.com/groups/1792314420960046/,0,4,3,2026-07-25T17:00:00.000Z,0,2026-04-17 02:14:26,0,unknown,normal,"4 events produced, 0 synced"
MAYBE,4.00,590129797999908,Tango Tanzen Köln,https://www.facebook.com/groups/590129797999908/,0,4,2,2026-05-03T16:00:00.000Z,0,2026-04-17 02:17:14,0,unknown,normal,"4 events produced, 0 synced"
MAYBE,3.97,memphisargentinetango,Memphis Argentine Tango,https://www.facebook.com/groups/memphisargentinetango/,0,4,0,2026-04-23T00:00:00.000Z,1,2026-04-17 02:41:36,0,unknown,normal,"4 events produced, 0 synced"
MAYBE,3.80,164961677477,FB Group 164961677477,https://www.facebook.com/groups/164961677477/,0,4,0,2026-04-18T18:00:00.000Z,6,2026-04-16 23:22:22,0,unknown,dormant,"4 events produced, 0 synced"
MAYBE,3.80,ILOVETANGOLOMBARDIA,TANGO Eventi in Lombardia,https://www.facebook.com/groups/ILOVETANGOLOMBARDIA/,0,4,0,2026-04-18T16:00:00.000Z,6,2026-04-17 00:19:05,0,unknown,normal,"4 events produced, 0 synced"
MAYBE,3.77,531782213504632,Tango in Italy,https://www.facebook.com/groups/531782213504632/,0,4,0,2026-04-17T19:00:00.000Z,7,2026-04-16 22:04:25,0,medium,high,"4 events produced, 0 synced"
MAYBE,3.00,PortugalTangoCommunity,Portugal Tango Community,https://www.facebook.com/groups/PortugalTangoCommunity/,1,2,1,2026-07-02T19:30:00.000Z,0,2026-04-16 22:08:06,1,medium,high,synced 1 event(s); review manually
MAYBE,3.00,627038077337005,Where do I dance AT tonight in Chicago?,https://www.facebook.com/groups/627038077337005/,1,2,1,2026-05-30T20:30:00.000Z,0,2026-04-16 21:51:15,1,high,high,synced 1 event(s); review manually
MAYBE,3.00,505tango,505 Tango Community,https://www.facebook.com/groups/505tango/,1,2,2,2026-04-30T00:50:00.000Z,0,2026-04-16 21:47:31,1,high,high,synced 1 event(s); review manually
MAYBE,3.00,tangointheburgh,Tango in the Burgh,https://www.facebook.com/groups/tangointheburgh/,0,5,3,2026-08-14T19:00:00,0,2026-04-16 22:16:58,1,active,high,"5 events produced, 0 synced"
MAYBE,3.00,IthacaTango,Ithaca Tango,https://www.facebook.com/groups/IthacaTango/,1,2,2,2026-09-02T19:00:00.000Z,0,2026-04-16 22:35:19,1,active,high,synced 1 event(s); review manually
MAYBE,3.00,tangobaratlanta,Tango Bar Atlanta,https://www.facebook.com/groups/tangobaratlanta/,0,3,2,2026-05-09T23:30:00.000Z,0,2026-04-16 22:23:42,0,active,high,"3 events produced, 0 synced"
MAYBE,3.00,austintango,Austin Tango,https://www.facebook.com/groups/austintango/,0,3,3,2026-05-24T00:30:00.000Z,0,2026-04-16 21:44:09,0,high,high,"3 events produced, 0 synced"
MAYBE,3.00,AgendaTango,Tango Paris Agenda,https://www.facebook.com/groups/AgendaTango/,0,3,1,2026-04-25T17:00:00.000Z,0,2026-04-16 23:40:05,0,unknown,high,"3 events produced, 0 synced"
MAYBE,3.00,322601531184191,Tango In TOKYO,https://www.facebook.com/groups/322601531184191/,0,3,2,2026-07-11T08:00:00.000Z,0,2026-04-16 22:55:15,0,medium,high,"3 events produced, 0 synced"
MAYBE,3.00,ArgentineTangoToronto,Argentine Tango Toronto Canada,https://www.facebook.com/groups/ArgentineTangoToronto/,0,3,1,2026-04-24T23:30:00.000Z,0,2026-04-17 01:36:29,0,unknown,high,"3 events produced, 0 synced"
MAYBE,3.00,tangomuenchen,Tango München,https://www.facebook.com/groups/tangomuenchen/,0,3,2,2026-05-02T17:30:00.000Z,0,2026-04-17 00:32:48,0,unknown,high,"3 events produced, 0 synced"
MAYBE,3.00,1620255408203916,Tango Nuevo Paris,https://www.facebook.com/groups/1620255408203916/,0,3,3,2026-04-25T16:00:00.000Z,0,2026-04-16 23:41:39,0,unknown,normal,"3 events produced, 0 synced"
MAYBE,3.00,portlandmainetango,Portland Maine Tango,https://www.facebook.com/groups/portlandmainetango/,0,5,1,2026-05-30T23:00:00.000Z,0,2026-04-16 23:58:28,1,unknown,normal,"5 events produced, 0 synced"
MAYBE,3.00,271632132861341,Tango Queer Madrid,https://www.facebook.com/groups/271632132861341/,0,3,2,2026-06-12T09:00:00.000Z,0,2026-04-17 00:05:36,0,unknown,normal,"3 events produced, 0 synced"
MAYBE,3.00,2326702050954985,US Argentine Tango Festivals,https://www.facebook.com/groups/2326702050954985/,0,3,2,2026-06-12T20:00:00.000Z,0,2026-04-16 21:39:39,0,low,normal,"3 events produced, 0 synced"
MAYBE,3.00,271226862945792,Asheville Tango Community,https://www.facebook.com/groups/271226862945792/,0,3,2,2026-05-23T19:00:00.000Z,0,2026-04-16 22:36:28,0,active,normal,"3 events produced, 0 synced"
MAYBE,3.00,HARTSTango,Hartford Argentine Tango Society,https://www.facebook.com/groups/HARTSTango/,0,3,2,2026-05-06T22:30:00.000Z,0,2026-04-16 22:44:47,0,active,normal,"3 events produced, 0 synced"
MAYBE,3.00,1120801077942656,TANGO ARGENTINO @ TU WIEN & ISTA,https://www.facebook.com/groups/1120801077942656/,0,3,3,2027-02-13T18:00:00.000Z,0,2026-04-17 00:24:11,0,unknown,normal,"3 events produced, 0 synced"
MAYBE,3.00,184781288231496,Tango in Stockholm,https://www.facebook.com/groups/184781288231496/,0,3,1,2026-04-25T10:00:00.000Z,0,2026-04-17 00:42:19,0,unknown,normal,"3 events produced, 0 synced"
MAYBE,3.00,226288127384322,Vancouver Argentine Tango,https://www.facebook.com/groups/226288127384322/,0,3,3,2026-09-18T16:00:00.000Z,0,2026-04-17 01:42:11,0,unknown,normal,"3 events produced, 0 synced"
MAYBE,2.97,1779159005488222,Tango Prague / Tango Czech Republic,https://www.facebook.com/groups/1779159005488222/,0,3,0,2026-04-23T16:00:00.000Z,1,2026-04-17 00:41:09,0,unknown,high,"3 events produced, 0 synced"
MAYBE,2.97,5821479674639510,Tango in Korea (Buenos Aires in Asia),https://www.facebook.com/groups/5821479674639510/,0,3,0,2026-04-23T05:00:00.000Z,1,2026-04-16 22:59:10,0,medium,normal,"3 events produced, 0 synced"
MAYBE,2.90,233002281833643,Phoenix Argentine Tango,https://www.facebook.com/groups/233002281833643/,0,3,0,2026-04-21T02:00:00.000Z,3,2026-04-16 22:29:16,0,active,normal,"3 events produced, 0 synced"
MAYBE,2.87,TorontoTangoJunkies,Toronto Tango Junkies,https://www.facebook.com/groups/TorontoTangoJunkies/,0,3,0,2026-04-20T00:00:00.000Z,4,2026-04-17 01:37:45,0,unknown,high,"3 events produced, 0 synced"
MAYBE,2.83,tangomilongasuk,Tango Milongas UK,https://www.facebook.com/groups/tangomilongasuk/,0,3,0,2026-04-19T13:00:00.000Z,5,2026-04-16 23:36:30,0,unknown,high,"3 events produced, 0 synced"
MAYBE,2.83,wasatchtango,Wasatch Tango Club,https://www.facebook.com/groups/wasatchtango/,0,3,0,2026-04-19T19:00:00.000Z,5,2026-04-16 22:27:54,0,active,normal,"3 events produced, 0 synced"
MAYBE,2.83,1495567617435021,Orlando Tango Club,https://www.facebook.com/groups/1495567617435021/,1,2,0,2026-04-18T23:00:00.000Z,5,2026-04-16 22:41:10,1,active,high,synced 1 event(s); review manually
MAYBE,2.80,tangoenbarcelona,Tango en Barcelona,https://www.facebook.com/groups/tangoenbarcelona/,0,3,0,2026-04-18T17:00:00.000Z,6,2026-04-17 00:10:06,0,unknown,high,"3 events produced, 0 synced"
MAYBE,2.80,tangoroma,Tango Roma,https://www.facebook.com/groups/tangoroma/,0,3,0,2026-04-18T17:00:00.000Z,6,2026-04-17 00:13:00,0,unknown,high,"3 events produced, 0 synced"
MAYBE,2.80,27263830501,Tango in Marseille,https://www.facebook.com/groups/27263830501/,0,3,0,2026-04-18T17:30:00.000Z,6,2026-04-17 02:04:50,0,unknown,normal,"3 events produced, 0 synced"
MAYBE,2.80,294979340604361,NAPOLI TANGO,https://www.facebook.com/groups/294979340604361/,0,3,0,2026-04-18T19:00:00.000Z,6,2026-04-17 02:25:14,0,unknown,normal,"3 events produced, 0 synced"
MAYBE,2.77,tangomilan,Tango a Milano,https://www.facebook.com/groups/tangomilan/,0,3,0,2026-04-17T18:30:00.000Z,7,2026-04-17 00:17:49,0,unknown,normal,"3 events produced, 0 synced"
MAYBE,2.00,tango.events.worldwide,"Tango Festivals, Marathons, Encuentros and Events worldwide",https://www.facebook.com/groups/tango.events.worldwide/,1,1,1,2026-05-28T14:00:00.000Z,0,2026-04-16 21:37:04,1,high,dormant,synced 1 event(s); review manually
MAYBE,2.00,419654858084406,THE HOUSE OF TANGO,https://www.facebook.com/groups/419654858084406/,0,4,4,2026-08-23T13:00:00.000Z,0,2026-04-16 21:41:04,1,high,dormant,"4 events produced, 0 synced"
MAYBE,2.00,tangopoesia,La Milonga OC,https://www.facebook.com/groups/tangopoesia/,0,4,1,2026-06-06T03:00:00.000Z,0,2026-04-16 21:53:14,1,high,high,"4 events produced, 0 synced"
MAYBE,2.00,KCTango,KC Tango (Argentine Tango in Kansas City),https://www.facebook.com/groups/KCTango/,1,1,1,2026-05-21T23:30:00.000Z,0,2026-04-16 22:26:24,1,active,high,synced 1 event(s); review manually
MAYBE,2.00,tangosingapore,Tango Singapore,https://www.facebook.com/groups/tangosingapore/,1,1,1,2026-07-02T12:00:00.000Z,0,2026-04-16 23:01:41,1,medium,high,synced 1 event(s); review manually
MAYBE,1.77,tangoeventsineurope,Tango Events in Europe,https://www.facebook.com/groups/tangoeventsineurope/,1,1,0,2026-04-16T23:00:00.000Z,7,2026-04-16 22:07:25,1,medium,dormant,synced 1 event(s); review manually
MAYBE,1.00,bayareaargentinetango,Bay Area Argentine Tango,https://www.facebook.com/groups/bayareaargentinetango/,0,3,3,2026-04-30T02:00:00.000Z,0,2026-04-16 22:14:37,1,low,high,"3 events produced, 0 synced"
MAYBE,1.00,tucsontangocalendar,Tucson Tango Calendar,https://www.facebook.com/groups/tucsontangocalendar/,0,3,1,2026-05-02T19:30:00.000Z,0,2026-04-16 22:31:09,1,active,high,"3 events produced, 0 synced"
MAYBE,0.83,RichmondTango,Richmond Tango,https://www.facebook.com/groups/RichmondTango/,0,3,0,2026-04-18T23:00:00.000Z,5,2026-04-16 22:32:27,1,active,high,"3 events produced, 0 synced"
NO,2.00,tango.japan,Tango in Japan,https://www.facebook.com/groups/tango.japan/,0,2,1,2026-04-25T09:10:00.000Z,0,2026-04-16 22:56:23,0,high,high,"low productivity, low recency"
NO,2.00,147546302079864,BARCELONA TANGO,https://www.facebook.com/groups/147546302079864/,0,2,2,2026-09-03T17:00:00.000Z,0,2026-04-17 00:09:06,0,unknown,high,"low productivity, low recency"
NO,2.00,303580233142860,Tango in Detroit and around,https://www.facebook.com/groups/303580233142860/,0,2,1,2026-04-27T23:00:00.000Z,0,2026-04-17 00:02:59,0,unknown,normal,"low productivity, low recency"
NO,2.00,southeast.tango,SouthEast Tango,https://www.facebook.com/groups/southeast.tango/,0,2,2,2026-04-26T19:00:00.000Z,0,2026-04-16 22:52:19,0,active,normal,"low productivity, low recency"
NO,2.00,tangueria,La Tangueria Brussels,https://www.facebook.com/groups/tangueria/,0,2,2,2026-07-26T16:30:00.000Z,0,2026-04-17 00:36:22,0,unknown,normal,"low productivity, low recency"
NO,2.00,1662645294064567,What's Up Tango In Lisbon,https://www.facebook.com/groups/1662645294064567/,0,2,1,2026-05-09T14:00:00.000Z,0,2026-04-17 00:47:02,0,unknown,normal,"low productivity, low recency"
NO,2.00,38621003419,Taipei Tango Festival,https://www.facebook.com/groups/38621003419/,0,2,2,2026-08-23T15:30:00.000Z,0,2026-04-17 01:30:37,0,unknown,normal,"low productivity, low recency"
NO,2.00,1933550103636447,Tango Montréal,https://www.facebook.com/groups/1933550103636447/,0,2,2,2026-05-13T23:00:00.000Z,0,2026-04-17 01:44:30,0,unknown,normal,"low productivity, low recency"
NO,1.83,1637390556624436,Tampa Bay Tango Calendar,https://www.facebook.com/groups/1637390556624436/,0,2,0,2026-04-19T20:00:00.000Z,5,2026-04-16 21:58:31,0,medium,normal,"low productivity, low recency"
NO,1.83,1448656085376909,TANGO IN SAN DIEGO,https://www.facebook.com/groups/1448656085376909/,0,2,0,2026-04-19T03:00:00.000Z,5,2026-04-16 22:22:44,0,active,normal,"low productivity, low recency"
NO,1.83,133299226717357,Nashville Tango Club,https://www.facebook.com/groups/133299226717357/,0,2,0,2026-04-19T02:00:00.000Z,5,2026-04-16 22:24:52,0,active,normal,"low productivity, low recency"
NO,1.83,tangokyiv,Танго в Києві (tango in Kyiv),https://www.facebook.com/groups/tangokyiv/,0,2,0,2026-04-19T15:00:00.000Z,5,2026-04-17 01:56:55,0,unknown,normal,"low productivity, low recency"
NO,1.80,17860360806,FB Group 17860360806,https://www.facebook.com/groups/17860360806/,0,2,0,2026-04-18T19:00:00.000Z,6,2026-04-16 23:15:45,0,unknown,dormant,"low productivity, low recency"
NO,1.80,437000329737440,Grupo de Tango 2.0 (Eventos en España),https://www.facebook.com/groups/437000329737440/,0,2,0,2026-04-18T18:00:00.000Z,6,2026-04-17 00:07:17,0,unknown,normal,"low productivity, low recency"
NO,1.80,USATango,Tango USA,https://www.facebook.com/groups/USATango/,0,2,0,2026-04-17T23:00:00.000Z,6,2026-04-16 22:54:11,0,active,normal,"low productivity, low recency"
NO,1.77,brujasmaglio,Tango-Milonga-Eventi: Milano & Provincia,https://www.facebook.com/groups/brujasmaglio/,0,2,0,2026-04-17T19:30:00.000Z,7,2026-04-17 00:15:58,0,unknown,high,"low productivity, low recency"
NO,1.77,europeanTango,Tango Europe,https://www.facebook.com/groups/europeanTango/,0,2,0,2026-04-17T12:00:00.000Z,7,2026-04-16 22:06:00,0,medium,normal,"low productivity, low recency"
NO,1.00,842625380676472,FB Group 842625380676472,https://www.facebook.com/groups/842625380676472/,0,1,1,2026-08-24T14:00:00.000Z,0,2026-04-16 23:14:55,0,unknown,dormant,"low productivity, low recency"
NO,1.00,shanghaitango,Shanghai Tango,https://www.facebook.com/groups/shanghaitango/,0,1,1,2026-04-27T09:00:00.000Z,0,2026-04-16 23:20:56,0,unknown,dormant,"low productivity, low recency"
NO,1.00,dfwtangueros,DFW Tangueros,https://www.facebook.com/groups/dfwtangueros/,0,1,1,2026-04-25T01:30:00.000Z,0,2026-04-16 21:45:52,0,high,high,"low productivity, low recency"
NO,1.00,queertangotlv,Queer Tango TLV,https://www.facebook.com/groups/queertangotlv/,0,1,1,2027-02-06T15:00:00.000Z,0,2026-04-17 01:48:10,0,unknown,high,"low productivity, low recency"
NO,1.00,1269597307760781,El Gordo Tango Marathon Warsaw,https://www.facebook.com/groups/1269597307760781/,0,1,1,2026-10-09T14:00:00.000Z,0,2026-04-17 00:53:38,0,unknown,high,"low productivity, low recency"
